user,date,text,location,coordinates,filename
wilc5,Wed Aug 11 04:57:44 +0000 2021,"RT @Mockingjay20211: ALERT: Southwest Airlines, American Airlines, and Delta Air Lines will NOT REQUIRE employees to get vaccinated, breaki…",United States,,2021-08-19 23:36:16.313209_combined.csv
pastheliopause,Wed Aug 11 04:57:43 +0000 2021,"RT @ramez: It takes a lot to make United Airlines look good. But somehow Southwest, American, and Delta have managed it. https://t.co/VbDWM…",,,2021-08-19 23:36:16.313209_combined.csv
TrueFactsStated,Tue Aug 10 22:22:45 +0000 2021,Support United Airlines when you have a choice.. https://t.co/TE0VioF8jy,DC and on the road. ,,2021-08-19 23:36:16.313209_combined.csv
GuyPascua,Wed Aug 11 06:04:38 +0000 2021,"Time to dump United! 
Three Major Airlines Won't Require Vaccination For Employees https://t.co/JRsC2WzPBC #Coronavirus via @jakepalmieri",,,2021-08-19 23:36:16.313209_combined.csv
GriffinCOA,Wed Aug 11 06:03:38 +0000 2021,"@neal_katyal @united @neal_katyal Neal, thanks for your leadership and for United acting responsibly.  As to the ot… https://t.co/S5fSFn5oNF",,,2021-08-19 23:36:16.313209_combined.csv
laxradar,Wed Aug 11 06:02:27 +0000 2021,"United Airlines flight #UAL517 spotted at 16,000 feet! https://t.co/kTNZbZBosy","Los Angeles, CA",,2021-08-19 23:36:16.313209_combined.csv
hectorg1931,Wed Aug 11 06:02:02 +0000 2021,@e_revolutionist @united @Delta @SouthwestAir My sister is a flight attendant of 23 years. I'm sure she's very upse… https://t.co/SLcECdeotZ,"San Antonio, TX",,2021-08-19 23:36:16.313209_combined.csv
laxradar,Wed Aug 11 06:01:41 +0000 2021,"United Airlines flight #UAL1266 spotted at 2,675 feet! https://t.co/zVlYlOUlMl","Los Angeles, CA",,2021-08-19 23:36:16.313209_combined.csv
laxradar,Wed Aug 11 06:00:22 +0000 2021,"United Airlines flight #UAL1143 spotted at 5,300 feet! https://t.co/GZ4borMvFZ","Los Angeles, CA",,2021-08-19 23:36:16.313209_combined.csv
PressReleaseJpn,Wed Aug 11 06:00:04 +0000 2021,skyticket launches direct connection service via the New Distribution Capability (NDC) with United Airlines https://t.co/XGg2ADldEi,"Shibuya, Tokyo, Japan",,2021-08-19 23:36:16.313209_combined.csv
OliviaLeon22,Wed Aug 11 05:59:06 +0000 2021,"BREAKING! 🚨🚨🚨 Southwest Airlines, American Airlines, and Delta will NOT REQUIRE employees to get vaccinated, breaki… https://t.co/AQawJA5VEE","Beverly Hills, CA",,2021-08-19 23:36:16.313209_combined.csv
JJRavenation52,Wed Aug 11 05:57:52 +0000 2021,RT @MayoIsSpicyy: @petemuntean I guess I’m only flying United Airlines.,,,2021-08-19 23:36:16.313209_combined.csv
Kimmierae45,Wed Aug 11 05:57:02 +0000 2021,"BREAKING! 🚨🚨🚨 Southwest Airlines, American Airlines, and Delta Air Lines will NOT REQUIRE employees to get vaccinat… https://t.co/0I9dmAymZ0",United States,,2021-08-19 23:36:16.313209_combined.csv
StarShineSpeaks,Wed Aug 11 05:56:42 +0000 2021,I guess I will only be taking United airlines in the future. https://t.co/4T6w9JCvvJ,"Los Angeles, CA",,2021-08-19 23:36:16.313209_combined.csv
gerardo009,Wed Aug 11 07:02:04 +0000 2021,"RT @BoeingAirplanes: With today’s order of 150 737-10s and 50 737-8s, United Airlines positions its fleet for the next phase of the market…","Vancouver, Germany, Spain, USA",,2021-08-19 23:36:16.313209_combined.csv
clydeechols,Wed Aug 11 07:01:52 +0000 2021,@miyashay @united Good.  I’ll make sure to fly the airlines with common sense,,,2021-08-19 23:36:16.313209_combined.csv
KENS5,Wed Aug 11 07:00:00 +0000 2021,United CEO says it's clear — that everyone is safer when everyone is vaccinated. https://t.co/yIoEDnOrRI,"San Antonio, Texas",,2021-08-19 23:36:16.313209_combined.csv
screampuppets,Wed Aug 11 06:59:50 +0000 2021,"After a very long United Airlines flight seated next to a boomer who insisted on leaving his face exposed, I have b… https://t.co/QG2M2P0ff7",the sock drawer,,2021-08-19 23:36:16.313209_combined.csv
para59r,Wed Aug 11 06:59:16 +0000 2021,@ItsTeamGoodGuy1 @barnes_law @Surabees Other airlines are not denying anyone get the vaccine.  If you get the vacci… https://t.co/9cCuRgFXHw,,,2021-08-19 23:36:16.313209_combined.csv
laxradar,Wed Aug 11 06:58:41 +0000 2021,"United Airlines flight #UAL2192 spotted at 28,000 feet! https://t.co/8tHTStjFEy","Los Angeles, CA",,2021-08-19 23:36:16.313209_combined.csv
SabrinaMertens4,Wed Aug 11 06:58:21 +0000 2021,"RT @eatlovepray211: BREAKING! 🚨🚨🚨 Southwest Airlines, American Airlines, and Delta Air Lines will NOT REQUIRE employees to get vaccinated,…",Belgium,,2021-08-19 23:36:16.313209_combined.csv
956_2766,Wed Aug 11 06:57:33 +0000 2021,"RT @DanielNewman: United Airlines is forcing all employees to get Vaccinated.

Thoughts?  It's Situational

I think Mandatory Masks were ap…","Laredo, TX",,2021-08-19 23:36:16.313209_combined.csv
