,user,date,text,location,coordinates,filename
71,ShanePatriot,Wed Aug 11 04:02:14 +0000 2021,"RT @Cudabarbie1: BREAKING! 🚨🚨🚨 Southwest Airlines, American Airlines, and Delta Air Lines will NOT REQUIRE employees to get vaccinated, bre…",,,2021-08-16 23:36:43.265249_combined.csv
72,laxradar,Wed Aug 11 04:01:42 +0000 2021,"United Airlines flight #UAL717 spotted at 6,375 feet! https://t.co/O4rTI6GHck","Los Angeles, CA",,2021-08-16 23:36:43.265249_combined.csv
73,Resist__Fascist,Wed Aug 11 05:04:02 +0000 2021,RT @Shoxie75: @TSSinPDX @petemuntean @lauferlaw @SouthwestAir @AmericanAir @Delta My family will no longer use your airlines. Very shortsig…,Recovering States of America,,2021-08-16 23:36:43.265249_combined.csv
74,Dafrosty,Wed Aug 11 05:02:55 +0000 2021,RT @sdshamshel: United mandating vaccines when other airlines aren't is basically this meme in plane form https://t.co/29KSgPJd3F,"Petaling Jaya, Selangor",,2021-08-16 23:36:43.265249_combined.csv
75,DonaldWassink,Wed Aug 11 05:02:35 +0000 2021,"RT @STEPHMHAMILL: Twitter mob is going after 
@SouthwestAir, @Delta, and @AmericanAir
 for letting their employees decide what’s best for t…",,,2021-08-16 23:36:43.265249_combined.csv
76,willOrt98581590,Wed Aug 11 05:01:45 +0000 2021,"@Allysdream1 Good, we need to make United Airlines go Broke!!",96801,,2021-08-16 23:36:43.265249_combined.csv
77,willOrt98581590,Wed Aug 11 05:00:58 +0000 2021,"RT @AqAir7: BREAKING: Southwest Airlines, American Airlines, and Delta Air Lines will NOT REQUIRE employees to get vaccinated, breaking wit…",96801,,2021-08-16 23:36:43.265249_combined.csv
78,MaD2016wiFe,Wed Aug 11 05:00:45 +0000 2021,@OhoneyBit @6ft7300 @lisalovestravel 🍃 Airlines headquarters in States that banned vaccines 🤷🏻‍♀️✈ They're followin… https://t.co/4KjBgwg1it,USA,,2021-08-16 23:36:43.265249_combined.csv
79,MarkBDonica,Wed Aug 11 04:59:35 +0000 2021,"Cool.

I *hate* United airlines with a fiery passion that I cannot describe, but if they’re the only ones mandating… https://t.co/41Gho64fgm","Orlando, FL",,2021-08-16 23:36:43.265249_combined.csv
80,SassenH,Wed Aug 11 04:58:22 +0000 2021,"RT @RedState: After United Airlines Issues its Vaccine Mandate, Delta, Southwest, and American Airlines Allow Employees to Remain Unvaccina…",Wyoming,,2021-08-16 23:36:43.265249_combined.csv
81,laxradar,Wed Aug 11 04:58:19 +0000 2021,"United Airlines flight #UAL562 spotted at 6,575 feet! https://t.co/zAq3mHHKNl","Los Angeles, CA",,2021-08-16 23:36:43.265249_combined.csv
82,davidjmcbride,Wed Aug 11 04:57:59 +0000 2021,"RT @ramez: It takes a lot to make United Airlines look good. But somehow Southwest, American, and Delta have managed it.",Seattle,,2021-08-16 23:36:43.265249_combined.csv
83,sdshamshel,Wed Aug 11 04:57:47 +0000 2021,United mandating vaccines when other airlines aren't is basically this meme in plane form https://t.co/29KSgPJd3F,,,2021-08-16 23:36:43.265249_combined.csv
84,wilc5,Wed Aug 11 04:57:44 +0000 2021,"RT @Mockingjay20211: ALERT: Southwest Airlines, American Airlines, and Delta Air Lines will NOT REQUIRE employees to get vaccinated, breaki…",United States,,2021-08-16 23:36:43.265249_combined.csv
85,pastheliopause,Wed Aug 11 04:57:43 +0000 2021,"RT @ramez: It takes a lot to make United Airlines look good. But somehow Southwest, American, and Delta have managed it. https://t.co/VbDWM…",,,2021-08-16 23:36:43.265249_combined.csv
86,TrueFactsStated,Tue Aug 10 22:22:45 +0000 2021,Support United Airlines when you have a choice.. https://t.co/TE0VioF8jy,DC and on the road. ,,2021-08-16 23:36:43.265249_combined.csv
87,GuyPascua,Wed Aug 11 06:04:38 +0000 2021,"Time to dump United! 
Three Major Airlines Won't Require Vaccination For Employees https://t.co/JRsC2WzPBC #Coronavirus via @jakepalmieri",,,2021-08-16 23:36:43.265249_combined.csv
